complaint_id,latitude,longitude,complaint_category,date_time
NOI-0001,28.541484,77.390885,Waste Management,2025-07-03 02:21:19
NOI-0002,28.572357,77.328616,Drainage / Waterlogging,2025-07-06 07:15:41
NOI-0003,28.577236,77.39061,Drainage / Waterlogging,2025-07-08 01:25:07
NOI-0004,28.630171,77.380688,Drainage / Waterlogging,2025-07-08 13:48:29
NOI-0005,28.588999,77.365696,Streetlight / Electrical,2025-07-09 01:36:36
NOI-0006,28.554431,77.344397,Streetlight / Electrical,2025-07-09 06:26:17
NOI-0007,28.570325,77.344487,Drainage / Waterlogging,2025-07-11 10:40:09
NOI-0008,28.590436,77.368318,Streetlight / Electrical,2025-07-11 11:01:39
NOI-0009,28.53404,77.406259,Waste Management,2025-07-13 09:49:27
NOI-0010,28.570012,77.32638,Road Damage,2025-07-16 01:25:25
NOI-0011,28.616778,77.375053,Streetlight / Electrical,2025-07-16 02:26:15
NOI-0012,28.627238,77.381063,Streetlight / Electrical,2025-07-18 01:35:37
NOI-0013,28.504825,77.424768,Waste Management,2025-07-19 02:30:43
NOI-0014,28.529794,77.3787,Road Damage,2025-07-19 16:39:41
NOI-0015,28.556638,77.409423,Streetlight / Electrical,2025-07-21 05:59:47
NOI-0016,28.562749,77.40292,Drainage / Waterlogging,2025-07-21 23:56:50
NOI-0017,28.556627,77.409854,Road Damage,2025-07-23 15:10:56
NOI-0018,28.563353,77.401638,Streetlight / Electrical,2025-07-28 03:54:02
NOI-0019,28.583613,77.366789,Drainage / Waterlogging,2025-08-02 07:52:31
NOI-0020,28.525237,77.382465,Drainage / Waterlogging,2025-08-03 03:00:20
NOI-0021,28.572913,77.374954,Road Damage,2025-08-07 09:25:44
NOI-0022,28.524039,77.380074,Waste Management,2025-08-07 22:02:53
NOI-0023,28.508591,77.407796,Road Damage,2025-08-08 21:13:13
NOI-0024,28.587964,77.31333,Road Damage,2025-08-09 01:06:38
NOI-0025,28.631277,77.383315,Waste Management,2025-08-09 07:18:40
NOI-0026,28.572209,77.323711,Road Damage,2025-08-10 22:54:31
NOI-0027,28.560092,77.390823,Waste Management,2025-08-12 13:14:45
NOI-0028,28.570816,77.326645,Streetlight / Electrical,2025-08-13 05:08:19
NOI-0029,28.617153,77.373971,Road Damage,2025-08-13 17:46:40
NOI-0030,28.551342,77.347098,Waste Management,2025-08-15 16:00:52
NOI-0031,28.593595,77.365882,Waste Management,2025-08-17 02:40:00
NOI-0032,28.540571,77.391521,Road Damage,2025-08-17 16:19:40
NOI-0033,28.57473,77.322524,Road Damage,2025-08-18 21:47:02
NOI-0034,28.505125,77.421288,Road Damage,2025-08-19 05:04:03
NOI-0035,28.541153,77.383657,Drainage / Waterlogging,2025-08-19 10:09:14
NOI-0036,28.574388,77.327176,Waste Management,2025-08-20 07:43:15
NOI-0037,28.568948,77.39408,Drainage / Waterlogging,2025-08-22 08:53:17
NOI-0038,28.56479,77.33589,Drainage / Waterlogging,2025-08-22 15:27:40
NOI-0039,28.572659,77.33981,Drainage / Waterlogging,2025-08-24 09:18:20
NOI-0040,28.573002,77.329513,Drainage / Waterlogging,2025-08-25 10:23:15
NOI-0041,28.571647,77.319778,Road Damage,2025-08-26 10:34:44
NOI-0042,28.579501,77.317285,Streetlight / Electrical,2025-08-27 00:13:16
NOI-0043,28.530527,77.393203,Drainage / Waterlogging,2025-08-28 09:38:23
NOI-0044,28.612032,77.389715,Streetlight / Electrical,2025-08-29 06:33:46
NOI-0045,28.567108,77.339033,Drainage / Waterlogging,2025-08-29 08:19:32
NOI-0046,28.594289,77.368756,Drainage / Waterlogging,2025-09-03 02:06:35
NOI-0047,28.618161,77.374898,Streetlight / Electrical,2025-09-05 05:49:22
NOI-0048,28.633245,77.382746,Waste Management,2025-09-05 09:04:59
NOI-0049,28.583765,77.366513,Road Damage,2025-09-06 03:20:34
NOI-0050,28.573081,77.34341,Streetlight / Electrical,2025-09-07 02:34:49
NOI-0051,28.543323,77.380759,Drainage / Waterlogging,2025-09-07 05:33:48
NOI-0052,28.566616,77.404932,Streetlight / Electrical,2025-09-07 09:15:39
NOI-0053,28.534,77.407849,Waste Management,2025-09-10 23:21:13
NOI-0054,28.56812,77.337831,Drainage / Waterlogging,2025-09-12 03:35:37
NOI-0055,28.499588,77.422908,Drainage / Waterlogging,2025-09-12 12:48:40
NOI-0056,28.572823,77.374396,Drainage / Waterlogging,2025-09-12 22:48:46
NOI-0057,28.569965,77.329583,Streetlight / Electrical,2025-09-14 05:18:01
NOI-0058,28.629423,77.384697,Drainage / Waterlogging,2025-09-15 07:13:12
NOI-0059,28.571993,77.319977,Waste Management,2025-09-16 14:11:44
NOI-0060,28.589291,77.368938,Streetlight / Electrical,2025-09-20 15:36:00
NOI-0061,28.552399,77.335649,Road Damage,2025-09-21 07:05:19
NOI-0062,28.567075,77.334936,Streetlight / Electrical,2025-09-22 04:48:23
NOI-0063,28.607084,77.390268,Road Damage,2025-09-22 05:52:53
NOI-0064,28.526005,77.381601,Road Damage,2025-09-24 06:29:52
NOI-0065,28.56212,77.396203,Waste Management,2025-09-25 02:34:36
NOI-0066,28.573644,77.375332,Streetlight / Electrical,2025-09-28 02:30:35
NOI-0067,28.575269,77.314989,Streetlight / Electrical,2025-09-28 15:03:20
NOI-0068,28.569768,77.328626,Waste Management,2025-10-01 21:33:22
NOI-0069,28.546612,77.380207,Drainage / Waterlogging,2025-10-05 13:41:44
NOI-0070,28.582677,77.370354,Streetlight / Electrical,2025-10-08 03:43:18
NOI-0071,28.56035,77.394505,Road Damage,2025-10-10 01:35:06
NOI-0072,28.562683,77.400026,Streetlight / Electrical,2025-10-11 00:49:50
NOI-0073,28.523479,77.380049,Waste Management,2025-10-13 10:14:39
NOI-0074,28.533821,77.407803,Waste Management,2025-10-14 08:55:11
NOI-0075,28.570819,77.330339,Streetlight / Electrical,2025-10-17 11:25:58
NOI-0076,28.554831,77.343838,Road Damage,2025-10-18 16:23:44
NOI-0077,28.614564,77.390509,Drainage / Waterlogging,2025-10-22 12:53:18
NOI-0078,28.524168,77.383544,Drainage / Waterlogging,2025-10-22 19:47:55
NOI-0079,28.551381,77.334342,Waste Management,2025-10-23 10:19:29
NOI-0080,28.553827,77.335264,Waste Management,2025-10-25 20:20:36
NOI-0081,28.552853,77.33093,Waste Management,2025-10-26 02:34:37
NOI-0082,28.567752,77.392898,Road Damage,2025-10-26 02:45:19
NOI-0083,28.611281,77.388879,Waste Management,2025-10-27 14:12:21
NOI-0084,28.53403,77.409066,Waste Management,2025-10-29 04:40:58
NOI-0085,28.568314,77.39395,Streetlight / Electrical,2025-10-30 07:26:22
NOI-0086,28.563618,77.335071,Road Damage,2025-10-30 13:12:22
NOI-0087,28.58063,77.371504,Road Damage,2025-11-01 04:52:17
NOI-0088,28.58786,77.366848,Streetlight / Electrical,2025-11-01 10:52:44
NOI-0089,28.574305,77.374969,Drainage / Waterlogging,2025-11-01 20:18:03
NOI-0090,28.532342,77.408921,Drainage / Waterlogging,2025-11-02 00:11:01
NOI-0091,28.572444,77.343997,Waste Management,2025-11-02 05:56:50
NOI-0092,28.495478,77.4256,Drainage / Waterlogging,2025-11-03 09:19:15
NOI-0093,28.552893,77.346878,Drainage / Waterlogging,2025-11-04 13:13:10
NOI-0094,28.552047,77.334419,Waste Management,2025-11-05 00:22:42
NOI-0095,28.524558,77.383399,Waste Management,2025-11-05 16:48:49
NOI-0096,28.574837,77.38619,Streetlight / Electrical,2025-11-05 22:59:31
NOI-0097,28.558059,77.407145,Waste Management,2025-11-06 14:50:44
NOI-0098,28.507755,77.40921,Road Damage,2025-11-07 09:16:39
NOI-0099,28.565889,77.338415,Road Damage,2025-11-08 02:45:53
NOI-0100,28.542522,77.382509,Road Damage,2025-11-08 11:52:46
NOI-0101,28.566651,77.369297,Drainage / Waterlogging,2025-11-09 00:18:03
NOI-0102,28.531443,77.381822,Road Damage,2025-11-10 04:03:46
NOI-0103,28.503925,77.405826,Streetlight / Electrical,2025-11-10 16:37:37
NOI-0104,28.566368,77.367559,Streetlight / Electrical,2025-11-11 20:44:26
NOI-0105,28.589795,77.366488,Road Damage,2025-11-13 20:34:48
NOI-0106,28.589444,77.369684,Road Damage,2025-11-15 11:21:10
NOI-0107,28.58251,77.314259,Waste Management,2025-11-18 16:12:10
NOI-0108,28.575963,77.314395,Road Damage,2025-11-18 22:44:45
NOI-0109,28.512619,77.407791,Waste Management,2025-11-21 04:22:18
NOI-0110,28.552229,77.333366,Drainage / Waterlogging,2025-11-27 16:50:23
NOI-0111,28.564909,77.36839,Road Damage,2025-11-28 17:20:50
NOI-0112,28.498272,77.426193,Streetlight / Electrical,2025-11-28 19:28:32
NOI-0113,28.58567,77.310998,Road Damage,2025-12-01 16:31:40
NOI-0114,28.574657,77.343332,Waste Management,2025-12-03 03:19:35
NOI-0115,28.573001,77.374025,Drainage / Waterlogging,2025-12-03 03:55:51
NOI-0116,28.578788,77.319186,Waste Management,2025-12-03 22:07:58
NOI-0117,28.529889,77.392243,Drainage / Waterlogging,2025-12-06 03:52:03
NOI-0118,28.568679,77.393845,Waste Management,2025-12-07 12:45:42
NOI-0119,28.570797,77.331326,Drainage / Waterlogging,2025-12-09 09:23:09
NOI-0120,28.556158,77.352722,Waste Management,2025-12-10 07:40:10
NOI-0121,28.544683,77.383317,Streetlight / Electrical,2025-12-10 22:48:54
NOI-0122,28.570602,77.331592,Drainage / Waterlogging,2025-12-11 22:19:58
NOI-0123,28.576355,77.373268,Drainage / Waterlogging,2025-12-16 23:32:47
NOI-0124,28.56746,77.396294,Road Damage,2025-12-17 06:41:56
NOI-0125,28.543975,77.382263,Drainage / Waterlogging,2025-12-19 08:18:46
NOI-0126,28.556109,77.331239,Waste Management,2025-12-19 11:04:12
NOI-0127,28.6091,77.388353,Drainage / Waterlogging,2025-12-19 23:32:38
NOI-0128,28.535391,77.406636,Road Damage,2025-12-20 10:33:30
NOI-0129,28.571511,77.348176,Streetlight / Electrical,2025-12-25 10:16:24
NOI-0130,28.570214,77.389947,Waste Management,2025-12-26 01:35:36
NOI-0131,28.585748,77.311128,Streetlight / Electrical,2025-12-26 02:00:53
NOI-0132,28.541895,77.392256,Waste Management,2025-12-26 14:50:37
NOI-0133,28.554274,77.349201,Streetlight / Electrical,2025-12-31 06:55:07
NOI-0134,28.54477,77.380659,Streetlight / Electrical,2026-01-05 13:48:11
NOI-0135,28.571074,77.343818,Road Damage,2026-01-07 07:34:55
NOI-0136,28.613916,77.389502,Road Damage,2026-01-09 14:56:55
NOI-0137,28.543349,77.379306,Road Damage,2026-01-09 23:55:15
NOI-0138,28.581849,77.313052,Waste Management,2026-01-10 04:35:33
NOI-0139,28.611753,77.390062,Drainage / Waterlogging,2026-01-12 20:13:49
NOI-0140,28.629304,77.382113,Waste Management,2026-01-14 23:49:10
NOI-0141,28.532186,77.408234,Waste Management,2026-01-18 06:46:35
NOI-0142,28.521286,77.380936,Streetlight / Electrical,2026-01-19 08:54:29
NOI-0143,28.530584,77.377964,Streetlight / Electrical,2026-01-19 20:06:46
NOI-0144,28.573602,77.375198,Streetlight / Electrical,2026-01-20 04:30:26
NOI-0145,28.568745,77.323613,Waste Management,2026-01-20 13:36:53
NOI-0146,28.570475,77.388978,Road Damage,2026-01-20 17:57:37
NOI-0147,28.497865,77.425804,Drainage / Waterlogging,2026-01-20 19:08:11
NOI-0148,28.570575,77.3264,Road Damage,2026-01-22 02:35:22
NOI-0149,28.50803,77.407221,Waste Management,2026-01-24 10:51:46
NOI-0150,28.553982,77.344806,Drainage / Waterlogging,2026-01-25 04:38:27
NOI-0151,28.625655,77.381908,Streetlight / Electrical,2026-01-25 14:07:50
NOI-0152,28.508658,77.412032,Road Damage,2026-01-26 00:34:44
NOI-0153,28.55808,77.347165,Road Damage,2026-01-27 19:48:52
NOI-0154,28.57077,77.322324,Road Damage,2026-01-28 00:37:04
NOI-0155,28.52813,77.394745,Waste Management,2026-01-31 21:19:12
NOI-0156,28.580693,77.313488,Streetlight / Electrical,2026-02-02 11:14:24
NOI-0157,28.593139,77.36879,Road Damage,2026-02-06 03:30:47
NOI-0158,28.566775,77.339149,Streetlight / Electrical,2026-02-06 09:45:17
NOI-0159,28.559552,77.394728,Waste Management,2026-02-06 11:03:34
NOI-0160,28.563419,77.395283,Road Damage,2026-02-09 04:22:31
NOI-0161,28.570119,77.333529,Drainage / Waterlogging,2026-02-10 06:01:20
NOI-0162,28.523263,77.380695,Drainage / Waterlogging,2026-02-10 19:34:00
NOI-0163,28.617414,77.37646,Road Damage,2026-02-13 09:40:04
NOI-0164,28.560354,77.395974,Drainage / Waterlogging,2026-02-14 08:54:30
NOI-0165,28.565877,77.393425,Drainage / Waterlogging,2026-02-14 10:44:03
NOI-0166,28.556902,77.411404,Waste Management,2026-02-14 13:54:46
NOI-0167,28.559596,77.404876,Waste Management,2026-02-18 06:26:09
NOI-0168,28.557897,77.409293,Waste Management,2026-02-18 10:36:08
NOI-0169,28.540762,77.38976,Road Damage,2026-02-19 02:01:21
NOI-0170,28.497695,77.423626,Road Damage,2026-02-20 20:21:17
NOI-0171,28.541651,77.394377,Waste Management,2026-02-21 07:59:25
NOI-0172,28.551727,77.335744,Waste Management,2026-02-24 20:31:18
